AS57724,DDOS-GUARD LTD
AS32787,Akamai (Prolexic)
AS13335,"Cloudflare, Inc."
AS54113,"Fastly, Inc."
AS53813,"ZSCALER, INC."
AS19551,Incapsula Inc
AS21859,Zenlayer Inc
AS19324,Dosarrest Internet Security LTD
AS3223,Voxility LLP
AS20860,IOMART CLOUD SERVICES LIMITED
AS137409,GSL Networks Pty LTD
AS396998,"Path Network, Inc."
AS16276,OVH SAS
AS24940,Hetzner Online GmbH
AS63949,Akamai (Linode)
AS12876,Scaleway
AS2914,"NTT America, Inc."
AS6461,Zayo Bandwidth
AS16509,"Amazon.com, Inc."
AS19905,"Vercara, LLC"
AS3320,Deutsche Telekom AG
AS15133,Edgecast Inc.
AS15169,Google LLC
AS60068,Datacamp Limited (CDN77 / DataPacket)
AS15703,TrueFullstaq B.V.
AS8220,COLT
AS30456,Cosmic Global Networks
AS14840,BR.DIGITAL 
AS51167,Contabo GmbH
AS43350,NForce Entertainment B.V.
AS8757,"NSFOCUS, Inc."
AS24429,Alibaba Cloud
AS34309,Link11 GmbH
AS35280,F5 Networks SARL
AS25369,Hydra Communications Ltd
AS197068,High Load Lab (Qrator)
AS47787,EDGOO NETWORKS UNIPESSOAL LDA
AS8426,Claranet Limited
AS57811,Redge Technologies sp. z o.o.
AS42831,UK Dedicated Servers Limited
AS1299,Arelion (fka. Telia Carrier)
AS198949,Radware
AS50629,LWLcom GmbH
AS55002,"F5, Inc."
AS132203,Tencent
AS45090,Shenzhen Tencent Computer Systems Company Limited
AS24482,SG.GS
AS20546,SOPRADO GmbH
AS8473,Bahnhof AB
AS199524,Gcore S.A.
AS2611,BELNET
AS45474,NEXUSGUARD LIMITED
AS8218,Zayo Europe
AS3214,xTom GmbH
AS265919,BB Host LTDA
AS200020,Stichting NBIP-NaWas
AS30823,aurologic GmbH
AS42649,Baffin Bay Networks AB
AS206446,Cloud Lease Ltd
AS59796,StormWall s.r.o.
AS12874,Fastweb SpA
AS1764,Next Layer Telecommunications
AS30781,Free Pro SAS
AS25198,INTERKVM HOST (ZetServers)
AS5405,Inter.link GmbH
AS49544,i3D.net B.V
AS40676,Psychz Networks
AS8560,IONOS SE
AS9002,RETN Limited
AS264409,Huge Networks
AS263801,LINKEAR SRL
AS6762,Telecom Italia Sparkle (Seabone)
AS6424,EDGOO NETWORKS
AS50673,Serverius Holding B.V.
AS49981,WorldStream B.V.
AS211301,Collin Schneeweiss trading as Unesty Company
AS212477,RoyaleHosting B.V.
AS30844,Liquid Intelligent Technologies 
AS31500,Global Network Management Inc
AS44066,firstcolo GmbH
AS206264,Amarutu Technology Ltd
AS59692,IQWeb FZ-LLC
AS47674,BlazingFast
AS207994,Blockchain Creek B.V.
AS28917,"Fiord Networks, UAB"
AS201133,Verdina Ltd.
AS135069,Feenix Communications Limited
AS58212,dataforest GmbH
AS35133,Eranium B.V.
AS33891,Core-Backbone GmbH
AS32098,Flō Networks (Transtelco Inc.)
AS20804,Exatel S.A.
AS29119,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL
AS20764,CJSC RASCOM
AS4455,IX Reach Ltd
AS13807,Great Plains Communications LLC
AS53427,TGLOBAL NETWORKS
AS64289,Macarne.com
AS57630,84 Grams AB
